Applicant Details,,"Eligibility Criteria
Decision Box – Eligibility
application_321_bundle.zip,applicant 321,ASS-7DB2E50,Tharaka Nithi,Textile,income statement,722653294,Pass,aligned to the scope,5,has been legally registered for 4 years,2,has a turnover less than 1M,3,there is a regular local channel of sales and no digital marketing.,2,vague with limited targets,4,priority VC with some linkages.,3,moderate with youth and women representation and sustainability aspects.,,Tier 1,100,40,60,40,80,60,10,8,12,10,12,6,58,0,58,284,Magdaline
application_322_bundle.zip,applicant 322,8674,Kakamega,Dairy,bank statement,722797743,Pass,aligned to the scope,5,has been legally registered for more than 20 years,2,has a turnover of less than 1M,3,there is a regular channel of sale to schools and hospitals.,4,strong with minor gaps,5,priority VC with documented linkages up&downstream.,3,there is moderate youth and women inclusion,,Tier 1,100,40,60,80,100,60,10,8,12,20,15,6,71,0,71,153,Magdaline
application_323_bundle.zip,applicant 323,BTR/DSS/CBO/0006/2016,Kakamega,Other,bank statement,710553378,Fail,out of scope(dairy goat farming),5,registred >3yrs,2,Turnover<1M,3,regular local sales,3,targets generic,2,peripheral role,5,>50% women and more than 2 green practices,P1,,100,40,60,60,40,100,10,8,12,15,6,10,61,5,56,303,
application_324_bundle.zip,applicant 324,BN-VZSO278E,Uasin Gishu,Other,none,714282606,Fail,no verifiable financial document,0,No registration.,0,No financial evidence.,0,No market evidence.,2,Short plan with unclear resourcing,0,Not a priority VC.,3,One green practice.,DQ1,,0,0,0,40,0,60,0,0,0,10,0,6,16,#N/A,0,520,
application_325_bundle.zip,applicant 325,CS/15891,Murang'a,Dairy,audited financial statement,704526299,Pass,aligned to the scope,5,has been legally registered for 11 years,5,has a turnover of more than 10M,5,there is a regular channel of sales to the processing plants and local customers,2,vague with limited targets,5,priority VC with documented linkages up&downstream.,3,moderate with youth and women representation and sustainability aspects.,,Tier 1,100,100,100,40,100,60,10,20,20,10,15,6,81,0,81,78,Magdaline
application_326_bundle.zip,applicant 326,CS/16503,Kisii,Other,bank statement,720253572,Fail,out of scope(banana aggregation & processing),5,Established cooperative with verifiable registration and active business record.,3,"Turnover just over 1M, Healthy but still small-scale financial base; good growth trend but limited working capital for large-scale operations.",4,Strong market strategy and demand base but still early in scaling value addition.,5,Comprehensive and realistic growth plan with measurable milestones and long-term scalability.,0,out of scope(banana aggregation & processing),4,"Strong climate-smart initiatives, gender inclusivity, and community-level innovation — well aligned to CSTF green objectives.",,Tier 1,100,60,80,100,0,80,10,12,16,25,0,8,71,0,71,153,
application_327_bundle.zip,Applicant _327,BN-EOSLDDLA,Meru,Other,Mpesa statement ,732759127,Fail,"Not priority VC, cosmetics No verifiable financial statement password encrypted",4,Legally registered and operating for 2 years ,3,"Strong turn over,but no financial document to verify ",4,Active local market and also online market ,4,"Clear goals of expanding, buying a vacuum emulsifying mixer machine, labelling machine,soap plodder, employment creation of up to 200 people ",0,"Engages in production of hair oil,soap",4,"50& women members,50& youths,green practices( use of biodegradable raw materials,use of organic and non GMO ingredients,print labels with soy based ink recyclable paper,use renewable energy sources)",,Tier 2,80,60,80,80,0,80,8,12,16,20,0,8,64,0,64,219,
application_328_bundle.zip,applicant 328,ASS-IFBCC35,Nyeri,Other,Bank statement,726982077,Fail,"Not priority VC, mechanical works juakali",5,Fully registered MSEA   with long operational history (well over 3 years). Strong governance,0,Financial record is not valid since its for 2022,2,"Regular local sales mainly B2C. Multiple product lines indicate versatility, but fragmented operations and lack of structured contracts or digital channels",2,"Business objective is relevant for clustering. The plan to add sheds and procure machines is practical but underdeveloped  lacks quantified targets,",0,Out of priority of value chain,3,Strong gender inclusion Youth inclusion modest . Basic green practice (tree planting initiative),,Tier 1,100,0,40,40,0,60,10,0,8,10,0,6,34,0,34,479,
application_329_bundle.zip,applicant 329,ASS RA-77S7KK,Makueni,Construction,bank statement,725727510,Pass,aligned to the scope,3,has been legally registered for less than a year,2,has a turnover of less than 1M,2,has intermittent sales with weak channels,2,vague with limited targets,5,priority VC with documented linkages up&downstream.,3,moderate with youth and women representation and sustainability aspects.,,Tier 1,60,40,40,40,100,60,6,8,8,10,15,6,53,0,53,332,Magdaline
application_330_bundle.zip,applicant 330,CS/23336,Kericho,Dairy,Income statements,720981187,Pass,,5,Registered >3 years,3,Turrnover 1 - <5M; stable + statements,4,"Consistent sales to Brookside Dairy Ltd (70% B2B) plus 30% local consumers, growing potential no multi-channel sales",4,strong plan with minor gaps,5,fully aligned with priority dairy VC,3,Moderate inclusion + sustainability practices,,Tier 1,100,60,80,80,100,60,10,12,16,20,15,6,79,0,79,93,Magdaline
application_331_bundle.zip,applicant 331,CS/5433,Laikipia,Dairy,Bank statements,726226387,Pass,,5,Registered >3 years,5,Turnover >10M; positive 2-yr trend; bank statements provided,4,Consistent monthly orders; growing channels; basic quality assurance.,4,strong plan with minor gaps,5,"fully aligned with priority dairy VC. upstream (milk collection from farmers) and downstream (aggregation, chilling, planned processing)",3,"several sustainability practices, moderate to low inclusionc",,Tier 1,100,100,80,80,100,60,10,20,16,20,15,6,87,0,87,41,Magdaline
application_332_bundle.zip,Application 332,CS/22334,Nairobi,Construction,Bank statements,722152208,Pass,All requirements are met,4,Well-established and growing cooperative with clear governance and steady membership growth.,4,"Profitable with steady revenues, though slight turnover dip in 2024 may reflect market fluctuations or project cycles.",4,"Differentiates itself through professionalism, cooperative ownership, and green technology adoption; formal contracts and larger tenders still a growth need.",4,Clear and ambitious proposal with measurable targets; depends on access to capital and modern equipment to scale.,4,"Strong diversification within construction, integration of innovative green technologies, and cooperative model creates efficiency and resilience.",4,"Strong alignment with sustainability and innovation trends, well-positioned to lead in green construction.",,Tier 1,80,80,80,80,80,80,8,16,16,20,12,8,80,0,80,87,Laureen
application_333_bundle.zip,Application 333,CS/2625,Garissa,Dairy,Bank statements,728968623,Pass,All requirements are met,4,Strong and growing institution with clear governance,4,Rapid growth in 2024 shows strong market uptake.,4,"Strong location and scale advantage, but still needs formal contracts and stronger linkages to secure steady demand.",4,"Proposal is clear, measurable, and realistic. Slightly limited by dependence on external financing for mechanization.",4,Solid integration from input supply to sales.,4,Very strong sustainability practices and future-oriented investments. High resilience to climate variability.,,Tier 1,80,80,80,80,80,80,8,16,16,20,12,8,80,0,80,87,Laureen
application_334_bundle.zip,Application 334,REG NO: ASS-C81F45E,Uasin Gishu,Other,Income statements,720231174,Fail,Invalid income statements,3,Registered under a year with a basic structure.,0,No financial evidence.,0,No market evidence.,4,Strong direct plan with minor gaps.,4,It is a priority VC with some linkages,5,Over half of women percentage in governance with more that 2 green practices.,DQ1,,60,0,0,80,80,100,6,0,0,20,12,10,48,#N/A,0,520,
application_335_bundle.zip,Application 335,CS/25606,Kericho,Dairy,Balanced sheet,719696658,Pass,All requirements are met,4,Strong track record with steady growth in membership and staffing.,3,"Strong turnover growth, but profit margins are very low (especially in 2024, net profit is only 0.36% of turnover).",4,Competitive advantage in service offering and organized systems.,4,"Well-defined, measurable, and realistic objectives.",4,"Strong presence in critical chain stages (collection, bulking, cooling, sales).",4,Strong sustainability focus and service integration.,,Tier 1,80,60,80,80,80,80,8,12,16,20,12,8,76,0,76,119,Laureen
application_336_bundle.zip,Application 336,CS/28645,Garissa,Textile,Bank statements,724492438,Pass,All requirements are met,4,"Strong registration and clear record of fast membership growth, significant jump in revenues and profitability. Still young but with a demonstrable track record.",3,Positive profitability trend and accounting system in place,4,"Buyers: 25% B2B (retailers, NGOs), 75% B2C (individuals, fairs).",4,"Niche cultural products with expanding urban/regional appeal, good competitive positioning through quality and women-led branding.",3,Positive profitability trend and accounting system in place,4,"Strong governance, inclusivity, and accountability.",,Tier 1,80,60,80,80,60,80,8,12,16,20,9,8,73,0,73,137,Laureen
application_337_bundle.zip,Application 337,BTR/DSS/WG/4143/2011,Kakamega,Dairy,Bank statements,727484249,Fail,Invalid bank statement,5,registered>3yrs,1,thin evidence,0,no market evidence,2,vague plan,2,peripheral role,5,>50% women and more than 2 green practices,,,100,20,0,40,40,100,10,4,0,10,6,10,40,0,40,454,
application_338_bundle.zip,Application 338,CS/30041,Baringo,Dairy,Bank statements,726105673,Fail,Invalid bank statement,3,Registered a little over a year but with basic structure in place,1,"Thin financial evidence, has provided a financial statement from 10 years ago",0,No market evidence,2,Vague plan with unclear resourcing,2,Peripheral node,2,Minority youth and females,DQ1,,60,20,0,40,40,40,6,4,0,10,6,4,30,#N/A,0,520,
application_339_bundle.zip,Application 339,720375595,Busia,Edible Oils,Bank statements,720375595,Pass,All requirements are met,2,"Legally recognized and mobilizing members strongly, but no proven financial or operational track record. Early stage.",1,"Financially unproven, high ris",3,"Demand exists, plus institutional linkage → moderate potential, though current volumes are negligible.",3,"Good governance and inclusivity, but limited management experience in running a profitable cooperative.",2,Participation across stages exists but is shallow and low-capacity.,3,Strong sustainability awareness; adoption likely at pilot scale.,,Tier 1,40,20,60,60,40,60,4,4,12,15,6,6,47,0,47,395,Laureen
application_340_bundle.zip,Application 340,CS/28422,Busia,Rice,Bank statements,720375595,Fail,Bank statement is not clear,3,Registered for 2 years with basic structure,3,Turnover is between 1-5M,3,Consistent monthly orders with growing channels but no use of digital marketing,5,Clear problem with detailed execution plan and quantified targets,,,5,Over 50% youth with more than2 sustainable practices,,,60,60,60,100,0,100,6,12,12,25,0,10,65,0,65,206,
application_341_bundle.zip,Application 341,PVT-8LUJY9E,Uasin Gishu,Other,Income statements,722853446,Fail,Out of scope vale chain because they deal with gooseberries farming,5,Registered over 3 years under good governance.,5,Turnover >10M with valid income statements,5,There is multi channel sale and consistency.,5,Clear and detailed problem and solution.,0,Not a priority VC. They only deal with farmers.,5,>50% of women with more than 2 green practices.,,,100,100,100,100,0,100,10,20,20,25,0,10,85,0,85,52,
application_342_bundle.zip,Applicant_342,PVT-QQ1O2E3D,Meru,Other,Mpesa statement,713092858,Fail,Out of scope in value chain for coffee farming,2,Legally registered and operating for 3 months ,2,Unrealistic financial figures ,3,Active regular local customers ,4,"Clear goals,clear budgets, clear target but with little information left like the risks ",0,Engages in smart farming services across coffee and horticulture ,4,"50& women in leadership,50& are youths green practices(crop rotation,intercropping, mulching a nd cover cropping)",,Tier 1,40,40,60,80,0,80,4,8,12,20,0,8,52,0,52,344,
application_343_bundle.zip,Applicant_343,CS/16567,Kisii,Other,Income Statement,713598080,Fail,Invalid income statement and out of scope in value chain for poultry farming,4,"Registered >1 year, with functioning leadership and regular member growth, though limited documented evidence of meeting cadence or audited records.",0,No verifiable financial evidence; unrelated attachment,3,Regular local B2B sales but limited channel diversification and no strong evidence of long-term contracts or defensible market advantage,4,"Strong plan with clear investment breakdown and objectives; however, execution details (timelines, risk mitigation) are limited.",5,"Clear role within a priority value chain, active in multiple nodes (production, aggregation, feed supply).",4,Strong gender inclusion and multiple green practices,,Tier 1,80,0,60,80,100,80,8,0,12,20,15,8,63,0,63,230,
application_344_bundle.zip,Applicant_344,BTR/DSS/3873/2009,Kakamega,Dairy,Bank Statements,711800577,Pass,All requirements met and satisfied,5,Well-established group with clear legal recognition and governance.,3,"Consistent growth and profitability, but lack of realistic expense accounting lowers financial reliability.",3,"Market exists with competitive advantage in freshness, but still limited to local consumers and no institutional buyers yet.",4,"Ambitious and practical proposal with investments outlined, but limited current operational scale constrains viability.",5,Perfect alignment with dairy value chain.,5,"Outstanding inclusivity (all women, youth-led) and strong environmental practices.",,Tier 2,100,60,60,80,100,100,10,12,12,20,15,10,79,0,79,93,Alvin
application_345_bundle.zip,Applicant_345,BN-EOS3JYVM,Turkana,Leather,Mpesa statement,712487533,Fail,Mpesa Statement is locked and cant be verified ,4,"Formally registered, operating consistently with clear leadership structure (female-led)",0,Submitted locked Mpesa statement,4,"Regular local demand and emerging online presence, with distinctive handmade products.",3,Strong intent and clarity on constraints but underdeveloped costed roadmap.,3,"Partially aligned to Textiles/Leather Value Chains, since it engages in small-scale garment and leather goods production.",5,Strong women/youth inclusion with tangible sustainable production practices.,,Tier 1,80,0,80,60,60,100,8,0,16,15,9,10,58,0,58,284,
application_346_bundle.zip,Applicant_346,BTR/DSS/SHG/10406/2020,Kakamega,Dairy,Bank Statements,728004423,Pass,All requirements met and satisfied,4,"Formally registered, structured leadership (Chairperson, Treasurer, Secretary), Clear growth in members and steady record keeping",4,"Turnover grew from Ksh 156,000 (2022) → 250,700 (2024).",3,Scale is still small (13 litres/day → limited ability to meet larger market demand),4,Ambitious but realistic improvements in line with dairy operations.,3,"Limited aggregation from members, no processing or formal B2B contracts yet.",4,Very good sustainability efforts for a small dairy group,,,80,80,60,80,60,80,8,16,12,20,9,8,73,0,73,137,Alvin
application_347_bundle.zip,Application_347,SPR/2015/180004,Homa Bay,Construction,Mpesa statement,729537082,Pass,All requirements met and satisfied ,5,Formally registered since 2015 → 10 years track record. Consistent operations in construction sector. Well-structured leadership team.,4,2022 turnover = 1.2M → 2023 turnover = 1.45M → 2024 turnover = 1.3M.,4,"Operates in construction, high-demand sector.Competitors: Smart Moves Construction & other contractors.Differentiates with good planning, loyalty, staff relations.However, faces stiff competition & limited marketing.Solid but not dominant.",4,"Clear objectives: job creation, HIV awareness (CSR). to invest in machinery (cranes, mixers, vibrators). Marketing expansion via social media advertising.",3,No strong aggregation or integration features (standard contracting).,3,"Tree planting, grass planting, irrigation adoption. Relevant but not deeply embedded in construction operations (mostly CSR/environmental add-ons)",,Tier 1,100,80,80,80,60,60,10,16,16,20,9,6,77,0,77,111,Alvin
application_348_bundle.zip,Applicant_348,PVT-RXU85VR,Meru,Edible Oils,Bank Statements,728911977,Pass,All requirements met and satisfied,5,"Fully registered, structured company. Consistent operations, integrated into multiple value chains. Digital systems in place (RFMS).",4,"Turnover consistently high (7M–10M). Profit margins ~20%. 2024 dip in turnover noted (10M → 7M), but still profitable.",5,"Competes with Bidco, Pwani Oil, Kapa Oil → highly competitive sector. Differentiates with local sourcing, AI-driven farmer services, sustainability. Strong B2B sales (95%) with wholesalers, distributors, agro-dealers.",5,"Clear objectives and measurable targets (expand to 50,000 farmers, double oil/feed capacity, add hubs). Detailed KPIs, reviews, and scaling plans. MoUs already underway with cooperatives & county governments.",5,"Vertically integrated: procurement → processing → feeds → digital services → sales. Provides farmer training, inputs, aggregation, and traceability. Creates strong backward linkages with 15,000+ smallholders.",4,"strong youth + climate-smart practices, but not woman-owned",,Tier 1,100,80,100,100,100,80,10,16,20,25,15,8,94,0,94,11,Alvin
application_349_bundle.zip,Applicant_349,SC/16791,Wajir,Other,Bank Statementy ,723222135,Fail,Out of scope value chain as they dwell in livestock keeping,2,Registered but irregular governance.,3,Valid bank statement with <5M,5,Multichannel sales. ,4,Well stated plans with minor gaps.,0,Not a priority VC.,4,<50% of women but with more than 2 green practices.,,,40,60,100,80,0,80,4,12,20,20,0,8,64,0,64,219,
application_350_bundle.zip,Applicant_350,WJR/WW/CD/1/A/CBO14,Wajir,Other,Cash book registry,722470983,Fail,Out of scope value chain and cash book registry has no financial record,2,Registered but irregular governance.,0,No financial evidence.,0,No market evidence.,4,Strong plan with minor gaps.,0,Not a priority VC.,3,1 green practice.,P1,,40,0,0,80,0,60,4,0,0,20,0,6,30,5,25,505,
application_351_bundle.zip,Applicant 351,BN-L5CMDPB3,Mombasa,Edible Oils,Mpesa statements,728418820,Pass,All requirements met and satisfied,4,Fully registered business with clear leadership. Demonstrated growth in members/employees over time. Strong leadership by women.,4,Turnover: 1M (2022) → 1.45M (2023) → 3.2M (2024).,4,"Clear market niche: organic oils, teas, and spice blends competing against big brands (Royco, Kentaste, Kericho Gold). Differentiation: organic, preservative-free, cold-pressed, community-grown. Selling through B2C (86%) + B2B (10%) + some exports (4%).",4,"Clear objectives: scale processing, expand into 3 new regional markets, certification (KEBS & food safety), farmer linkages. Realistic investment plan for equipment and certifications.Digital marketing strategy already in use.",4,Operates across the chain: farmer training → procurement → processing → packaging → marketing → direct sales.,5,"Inclusivity: Woman-owned, majority women employees, youth involved in production & marketing. Sustainability: Promotes organic farming, supports farmer groups, engages in environmental justice work, waste-to-product processing (powders, herbal use).",,,80,80,80,80,80,100,8,16,16,20,12,10,82,0,82,70,Alvin
application_352_bundle (1).zip,Applicant 352,PVT-BEUXGQBL,Bomet,Construction,Bank statements,702523119,Pass,All requirements met and satisfied,4,"Fully compliant with registration, strong legal identity, and clear track record in niche fiber optic products.",5,High product margins make business sustainable.,4,"Competitive advantage is clear, though objectives are still early-stage.",5,Rapid growth with strong profitability and healthy margins,5,Unique and critical role in the construction/telecom value chain with backward and forward linkages.,4,"Strong youth and gender balance, though lacks structured membership base.",,,80,100,80,100,100,80,8,20,16,25,15,8,92,0,92,22,Alvin
application_353_bundle.zip,Applicant 353,CS/17849,Homa Bay,Dairy,Bank statements,721411932,Fail,The bank statements cannot be accessed,4,documented leadership roles are there,0,no financial evidence,0,no market evidence,4,clear problem-solution,4,they have high node perticipation and some linkages,2,low inclusion and some intent on sustainability,P1,,80,0,0,80,80,40,8,0,0,20,12,4,44,5,39,460,
application_354_bundle.zip,Applicant 354,PVT-9XUKJEVM,Tharaka Nithi,Dairy,Bank statements,706413234,Pass,All requirements met and satisfied,4,Meets registration requirements with proof of legal status and track record in dairy.,3,Demonstrates revenue growth but profits remain very low relative to turnover.,4,"Strong branding and clear objectives, though competition in yoghurt market is high.",4,Demonstrates ambitious scaling with planned operational improvements.,5,"Clear, integrated role in the dairy value chain with backward and forward linkages.",4,"Shows strong inclusion of youth and women, with evidence of recent expansion.",,Tier 2,80,60,80,80,100,80,8,12,16,20,15,8,79,0,79,93,Alvin
application_355_bundle.zip,Application 355,CS/25381,Wajir,Dairy,Bank statements,717246297,Pass,All documents presented,4,Steady growth in membership (104 → 140 → 160),5,Healthy margins & positive trend.,4,Competes with local traders & national milk brands.,4,"Targets realistic (4,000L/day by 2025).",5,Strong alignment with dairy value chain (camel milk),5,Women: 150 vs 30 men,,Tier 1,80,100,80,80,100,100,8,20,16,20,15,10,89,0,89,32,Laureen
application_356_bundle.zip,Application 356,ASS-FB144OA,Garissa,Construction,Bank statements,726512105,Pass,aligned to construction value chain,4,has been legally registered for 2 years,1,there is thin evidence of the financial position,5,there are multichannels of sale,4,strong with minor gaps,5,priority VC with strong up and downstream linkages,3,there is moderate inclusion of the youth and low inclusion for the women ,,Tier 1,80,20,100,80,100,60,8,4,20,20,15,6,73,0,73,137,
application_357_bundle.zip,Application 357,CS/249,Kisii,Other,Balance sheet,703500633,Fail,"Out of scope value chain in that it is a small holder-based coffee cooperative engaged in collecting, pulping, fermenting, drying, and selling
 parchment coffee from our members. ",5,"Registered >3 years, growing membership, formal governance, and evidence of oversight",1,Thin evidence none from the last 12 months,4,"Established, stable B2B demand but limited current product diversification and no confirmed export channels yet",5,"Comprehensive and feasible proposal addressing capacity gaps, sustainability, and market readiness — excellent alignment to CSTF priorities.",0,"Out of scope value chain in that it is a small holder-based coffee cooperative engaged in collecting, pulping, fermenting, drying, and selling
 parchment coffee from our members. ",3,Demonstrates both gender/youth inclusion and multiple green practices ,,Tier 1,100,20,80,100,0,60,10,4,16,25,0,6,61,0,61,250,
application_358_bundle.zip,Application 358,BN-35CD836V,Wajir,Textile,Balance sheet,729985845,Fail,Less financial evidence,2,Registered but irregular governance.,1,Thin evidence.,2,Weak channels.,1,No targets,0,Not a priority VC.,3,<50% of women.,,,40,20,40,20,0,60,4,4,8,5,0,6,27,0,27,503,
application_359_bundle.zip,Application 359,CS/223,Kisii,Other,Balance sheet,720833734,Fail,"Out of scope value chain in that it is a small holder-based coffee cooperative engaged in collecting, pulping, fermenting, drying, and selling
 parchment coffee from our members. ",5,"Long-established, compliant, and verifiable governance structure with county and national recognition.",4,"High turnover and active financial activity, though profitability is inconsistent and digital accounting absent.",4,"Strong market participation with expansion potential, though no direct export yet realized.",5,Comprehensive and feasible investment plan aligned with value chain strengthening and CSTF objectives.,0,"Out of scope value chain in that it is a small holder-based coffee cooperative engaged in collecting, pulping, fermenting, drying, and selling
 parchment coffee from our members. ",3,"Good gender inclusion Moderate youth inclusion, demonstrated environmental practices, and strong sustainability commitments",,Tier 1,100,80,80,100,0,60,10,16,16,25,0,6,73,0,73,137,
application_360_bundle.zip,Application 360,CS/501,Kisii,Other,Balance sheet,745658170,Fail,Out of scope value chain becuse mainly deals with coffee production,5,Established and formally registered with strong governance continuity and audited accounts.,1,Thin financial evidence; statements provided are for 2022 rather than the last 12 months,3,Regular market participation through intermediaries; moderate competitiveness due to lack of direct market linkages,4,"strong proposal with good structure and alignment to CSTF objectives, but lacks depth in unique implementation or measurable KPIs.",0,Out of scope value chain becuse mainly deals with coffee production,3,Strong sustainability initiatives though moderately low inclusivity  for women and youth,,Tier 1,100,20,60,80,0,60,10,4,12,20,0,6,52,0,52,344,
application_361_bundle.zip,Application 361,CS/217,Kisii,Other,Balance sheet,725042377,Fail,"Out of scope value chain in that it is a small holder-based coffee cooperative engaged in collecting, pulping, fermenting, drying, and selling
 parchment coffee from our members. ",5,"Longstanding, legally recognized cooperative with sound governance and consistent growth.",1,Thin financial evidence; statements provided are for 2023 rather than the last 12 months,3,Reliable market base but limited diversification or competitive differentiation beyond bulk sales.,4,"Well-developed and coherent investment plan aligned with project priorities, though similar to other cooperative templates and lacking measurable performance indicators.",0,"Out of scope value chain in that it is a small holder-based coffee cooperative engaged in collecting, pulping, fermenting, drying, and selling
 parchment coffee from our members. ",4,"gender inclusion and proactive sustainability initiatives; however, low youth representation slightly limits inclusivity breadth",,Tier 1,100,20,60,80,0,80,10,4,12,20,0,8,54,0,54,327,
application_362_bundle.zip,Application 362,CS/23711,Kakamega,Dairy,Bank statements,711197453,Pass,All documents presented,3,"Young institution, still small in size, but steady growth signals potential.",2,Data indicates positive margins but lacks credibility and scale; financial position fragile.,3,Stable demand exists but market is competitive; scaling capacity is limited.,3,Vision is strong but execution depends heavily on external financing.,2,Participation in value chain is shallow; integration limited to small-scale primary production and reselling.,3,Moderate inclusivity; some sustainability adoption but limited depth.,,Tier 1,60,40,60,60,40,60,6,8,12,15,6,6,53,0,53,332,Laureen
application_363_bundle.zip,Application 363,CS/29775,Narok,Dairy,Bank statements,700281235,Pass,All documents presented,3,"Early-stage institution with fast growth, but limited track record and operational experience.",4,"Strong profitability and upward trend, but business base still small and unproven long-term.",4,"Significant demand and diverse channels, though faces stiff competition from established processors.",4,"Strong, structured proposal with clear milestones, but execution requires major financing and capacity building.",5,"High integration across value chain, positioning cooperative as central actor in local dairy system.",4,"High inclusivity and adoption of green practices, though youth engagement still modest.",,Tier 1,60,80,80,80,100,80,6,16,16,20,15,8,81,0,81,78,Laureen
application_364_bundle.zip,Application 364,NYM/C.H.C/1252/2022,Nyamira,Edible Oils,Balanced sheet and mpesa satatements,712886899,Pass,All requirements met,4,Registered 1–3 years with documentation and meeting cadence implied through continuous operation and leadership.,4,"Turnover between 1–5M; stable growth with full financial documentation (M-Pesa, Balance Sheet, Cashflow).",4,"Consistent and growing local B2C market, diversified product lines, and quality differentiation.",5,"Comprehensive, quantified plan with budgets, execution strategy, and partnerships identified.",5,Fully aligned to Edible Oils VC; critical processing role with circular economy model (waste recycling).,5,"Strong youth representation, notable female participation, and environmental innovations.",,,80,80,80,100,100,100,8,16,16,25,15,10,90,0,90,30,Laureen
application_365_bundle.zip,Application 365,CS/13701,Makueni,Dairy,Bank statement,726699221,Fail,The bank statement cannot be accessed,5,Registered since 2011,0,Locked mpesa statements; cant verify financials,2,"Market heavily reliant on raw milk sales; limited channels, no multi-channel digital sales, and minimal quality differentiation or binding buyer contracts documented.",4,"Execution plan is conceptual; no detailed budget, timelines, co-investment readiness, or risk mitigation framework provided",4,"Upgrading potential exists, but downstream processing, packaging, and standards compliance are not yet implemented.",3,"Green practices are mostly individual-level, not cooperative-wide structured initiatives; no documented PWD inclusion or wider sustainability program.",,Tier 1,100,0,40,80,80,60,10,0,8,20,12,6,56,0,56,303,
application_366_bundle.zip,Application 366,SOCA-PPTV3D8,Wajir,Other,Cash book,722470983,Fail,Out of scope value chain because it mainly deals with farming of maize and sorghum,2,Registered but irregular governance.,1,Thin evidence.,0,No market evidence.,3,Clear targets,0,Not a priority VC,3,<50% of women.,,,40,20,0,60,0,60,4,4,0,15,0,6,29,0,29,494,
application_367_bundle (1).zip,Application 367,CS/26315,Lamu,Other,Cash based books,723255926,Fail,"Out of scope value chain beacuse Lamu West Cashew Nut Processors Farmers Cooperative Society (LWCPFCS) primarily focuses on the value
 addition of cashew nuts,",5,Registered for 4 years,2,Sporadic records,3,No B2B or export sales; limited digital/e-commerce reach; strong competition from middlemen and brokers.,2,No detailed business objectives; limited operational scaling capacity; reliance on external BDS support for training and storage.,0,Not in priority VC,2,No women in top leadership; sustainability practices are limited and small-scale; environmental resilience initiatives need scaling.,,Tier 1,100,40,60,40,0,40,10,8,12,10,0,4,44,0,44,423,
application_368_bundle.zip,Application 368,MTO 4647,Kitui,Edible Oils,Cash based books,748334677,Fail,The cah based books is invalid,5,Registered for 4 years,0,No financial evidence.,1,"No clear evidence of consistent sales, contracts, or demand",1,No credible growth plan or viability demonstrated.,2,"In priority VC, but only at peripheral role with weak linkages",2,"Some inclusivity by numbers, but poor articulation and weak sustainability practices.",,Tier 1,100,0,20,20,40,40,10,0,4,5,6,4,29,0,29,494,
application_369_bundle (1).zip,Application 369,PVT-ZQUXR5ML,Nyeri,Edible Oils,Balanced sheet and income statements,717579302,Pass,All documents processed,5,Full compliance with registration requirement. Has operated since at least 2022 with consistent financial records and structured farmer engagement.,5,Strong financial base with consistent revenue and profitability growth. Demonstrates sustainability and scale.,4,Strong positioning but faces high competition from large established brands.,5,Well-structured and realistic expansion plan with initial progress.,5,"Deep and integrated participation in edible oils value chain, with both upstream (farmers, input supply) and downstream (processing, distribution) engagement.",5,Strong growth trajectory with clear community engagement. Demonstrates capacity to mobilize farmers at scale and create jobs.,,Tier 2,100,100,80,100,100,100,10,20,16,25,15,10,96,0,96,8,Laureen
application_370_bundle.zip,Application 370,1800,Uasin Gishu,Other,Cash based books,722853446,Fail,"Out of scope value chain because the UG64 Business Association operates within the support and marketing value chain. We empower MSME
 Association members through education and creating platforms for product marketing",4,Registered under 3 years with good governance.,1,Unclear financial evidence.,1,Unverifiable market evidence.,5,Well detailed problem and solution.,0,Not a priority VC,5,>50% of women with more than 2 green practices.,P1,,80,20,20,100,0,100,8,4,4,25,0,10,51,5,46,406,
application_371_bundle.zip,Application 371,DSD/30/161/01/100921,Baringo,Edible Oils,Cash based books,719538314,Fail,Incorrect cash based books,3,Registered a little over a year but with basic structure in place,0,No financial evidence,2,Weak channels in local market,2,Vague plan with unclear resourcing,4,Fills a critical node but undocumented linkages,5,50% women and 2 sustainability practices,P2,,60,0,40,40,80,100,6,0,8,10,12,10,46,3,43,430,
application_372_bundle.zip,Application 372,BN-7ZCKEGB,Uasin Gishu,Construction,Balanced sheet,721101890,Pass,All documents processed,4,"Formalized operations with progressive workforce growth, showing stability and experience.",5,"Strong revenue growth and profitability trend, demonstrating financial resilience and scalability.",4,"Competes in highly competitive sector but has carved market space through quality, pricing, and distribution.",4,"Realistic, strategic expansion plan backed by strong financials and demand.",5,Fully integrated across the construction value chain with strong role in local supply.,3,"Youth-inclusive, some female representation, but not woman-owned; sustainability practices modest but relevant.",,Tier 2,80,100,80,80,100,60,8,20,16,20,15,6,85,0,85,52,Laureen
