Applicant Details,,"Eligibility Criteria
Decision Box – Eligibility
application_305_bundle.zip,Applicant_305,CS/11960,Nairobi,Construction,income statement,709194100,Pass,alighned to the scope,5,has been registered for more than 3years.,5,has more than 10M turnover.,4,there is consistent channel of sales  indluding digital platform.,3,the business proposal has unclear targets and budget,4,there are some visible linkages and potential for growth.,3,there is gender inclusive ,,Tier 1,100,100,80,60,80,60,10,20,16,15,12,6,79,0,79,81,
application_306_bundle.zip,Applicant_306,CPR/2013/104992,Kakamega,Blue Economy,audited financial statement,722565686,Pass,alighned to the scope,5,registered for 13 years,4,has a turnover of more than 7M,3,"there is only one channel of sales , no digital marketing",2,vague with no clear SMART goals,3,there are weak linkages with potential for growth.,4,there is strong inclusion of women and the youth.,,Tier 1,100,80,60,40,60,80,10,16,12,10,9,8,65,0,65,151,
application_307_bundle.zip,Applicant_307,BTR/DSS/SHG/15267/2019,Kakamega,Other,bank statement,703385180,Fail,out of scope( dairy cow farming),,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_308_bundle.zip,Applicant_308,CS/17679,Nakuru,Dairy,audited financial statement,723463882,Pass,alighned to the scope,5,registered for 10 years,4,has turnover of about 6M,4,has consistent monthly sales to processing plants and direct to farmers,4,strong with minor gaps,4,there are some strong linkages with potential for growth,2,there is low inclusion of youth and women,,Tier 1,100,80,80,80,80,40,10,16,16,20,12,4,78,0,78,89,
application_309_bundle.zip,Applicant_309,BTR/DSS/WG/4523/2013,Kakamega,Other,mpesa statement,712787782,Fail,out of scope(dairy cow farming),,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_310_bundle.zip,Applicant_310,ASS-3597EA9,Embu,Construction,none,798805440,Fail,no verifiable financial document,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_311_bundle.zip,Applicant_311,ASS-5D7A202,Embu,Other,cash flow statement,726726314,Fail,out of scope(mango farming & processing),,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_312_bundle.zip,Applicant_312,CS/19706,Kajiado,Dairy,bank statement,717595241,Pass,aligned to the scope,5,legally registered for 9 years,4,there is more than 10M turnover,4,there is consistent monthly oders,4,strong with minor gaps,4,there are some strong linkages,4,there are strong gender and youth inclusion.,,Tier 1,100,80,80,80,80,80,10,16,16,20,12,8,82,0,82,62,
application_313_bundle.zip,Applicant_313,CS/20674,Nandi,Dairy,bank statement,720235442,Pass,aligned to the scope,5,legally registered for 9 years,5,there is more than 10M turnover,4,there is consistent monthly orders from distributors and wholesalers,4,strong with minor gaps,5,there are some linkages with upstream & downstream linkages,4,strong gender and youth inclusion,,Tier 1,100,100,80,80,100,80,10,20,16,20,15,8,89,0,89,30,
application_314_bundle.zip,Applicant_314,CS/19133,Murang'a,Dairy,income statement,723891105,Pass,aligned to the scope,5,legally registered for 9 years,5,there is more than 10M turnover,4,there is consistent market sales channels,4,strong with minor gaps,4,Priority VC; clear node participation; some linkages.,4,strong gender and youth inclusion,,Tier 1,100,100,80,80,80,80,10,20,16,20,12,8,86,0,86,41,
application_315_bundle.zip,Applicant_315,BN-8MC7R9YK,Nandi,Other,income statement,728378716,Fail,out of scope(agrovet and dairy cow farming),,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_316_bundle.zip,Applicant_316,BTR/DSS/CBO/9414/2014,Kakamega,Other,bank statement,724004877,Fail,out of scope(dairy cow farming),,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_317_bundle.zip,Applicant_317,ASS-ED850E4,Makueni,Construction,income statement,721523810,Pass,aligned to the scope,4,has been legally registered for 3 years,2,has a turnover of less than 1M,3,there are local sales with weak channels,2,vague with limited targets,5,priority VC with documented linkages up&downstream.,4,strong youth linkage with gender inclusivity.,,Tier 1,80,40,60,40,100,80,8,8,12,10,15,8,61,0,61,168,
application_318_bundle.zip,Applicant_318,DSD/37/207/01/44091,Kakamega,Other,bank statement,740666569,Fail,out of scope(sugarcane farming),,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_319_bundle.zip,Applicant_319,CS/28602,Kisii,Dairy,income statement,722440907,Pass,aligned to the scope,4,has been legally registered for 2 years,2,has a turnover of less than 1M,3,there are regular local sales channels,4,strong with minor gaps,5,priority VC with documented linkages up&downstream.,4,strong youth and women inclusive with sustainability aspect using solar ,,Tier 1,80,40,60,80,100,80,8,8,12,20,15,8,71,0,71,123,
application_320_bundle.zip,Applicant_320,CPR/2009/14509,Elgeyo-Marakwet,Dairy,income statement,729947139,Pass,aligned to the scope,5,has been legally registered for more than 5 years.,5,has a turnover of more that 10M,5,There are multi-channel sales of repeat customers.,4,strong with minor gaps,5,priority VC with documented linkages up&downstream.,3,moderate with youth and women representation and sustainability aspects.,,Tier 1,100,100,100,80,100,60,10,20,20,20,15,6,91,0,91,22,
application_321_bundle.zip,Applicant_321,ASS-7DB2E50,Tharaka Nithi,Textile,income statement,722653294,Pass,aligned to the scope,5,has been legally registered for 4 years,2,has a turnover less than 1M,3,there is a regular local channel of sales and no digital marketing.,2,vague with limited targets,4,priority VC with some linkages.,3,moderate with youth and women representation and sustainability aspects.,,Tier 1,100,40,60,40,80,60,10,8,12,10,12,6,58,0,58,178,
application_322_bundle.zip,Applicant_322,8674,Kakamega,Dairy,bank statement,722797743,Pass,aligned to the scope,5,has been legally registered for more than 20 years,2,has a turnover of less than 1M,3,there is a regular channel of sale to schools and hospitals.,4,strong with minor gaps,5,priority VC with documented linkages up&downstream.,3,there is moderate youth and women inclusion,,Tier 1,100,40,60,80,100,60,10,8,12,20,15,6,71,0,71,123,
application_323_bundle.zip,Applicant_323,BTR/DSS/CBO/0006/2016,Kakamega,Other,bank statement,710553378,Fail,out of scope(dairy goat farming),,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_324_bundle.zip,Applicant_324,BN-VZSO278E,Uasin Gishu,Other,none,714282606,Fail,no verifiable financial document,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_325_bundle.zip,Applicant_325,CS/15891,Murang'a,Dairy,audited financial statement,704526299,Pass,aligned to the scope,5,has been legally registered for 11 years,5,has a turnover of more than 10M,5,there is a regular channel of sales to the processing plants and local customers,2,vague with limited targets,5,priority VC with documented linkages up&downstream.,3,moderate with youth and women representation and sustainability aspects.,,Tier 1,100,100,100,40,100,60,10,20,20,10,15,6,81,0,81,70,
application_326_bundle.zip,Applicant_326,CS/16503,Kisii,Other,bank statement,720253572,Fail,out of scope(banana aggregation & processing),,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_327_bundle.zip,Applicant_327,BN-EOSLDDLA,Meru,Other,Mpesa statement ,732759127,Fail,"Not priority VC, cosmetics No verifiable financial statement password encrypted",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_328_bundle.zip,Applicant_328,ASS-IFBCC35,Nyeri,Other,Bank statement,726982077,Fail,"Not priority VC, mechanical works juakali",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_329_bundle.zip,Applicant_329,ASS RA-77S7KK,Makueni,Construction,bank statement,725727510,Pass,aligned to the scope,3,has been legally registered for less than a year,2,has a turnover of less than 1M,2,has intermittent sales with weak channels,2,vague with limited targets,5,priority VC with documented linkages up&downstream.,3,moderate with youth and women representation and sustainability aspects.,,Tier 1,60,40,40,40,100,60,6,8,8,10,15,6,53,0,53,192,
application_330_bundle.zip,Applicant_330,CS/23336,Kericho,Dairy,Income statements,720981187,Pass,,5,Registered >3 years,3,Turrnover 1 - <5M; stable + statements,4,"Consistent sales to Brookside Dairy Ltd (70% B2B) plus 30% local consumers, growing potential no multi-channel sales",4,strong plan with minor gaps,5,fully aligned with priority dairy VC,3,Moderate inclusion + sustainability practices,,Tier 1,100,60,80,80,100,60,10,12,16,20,15,6,79,0,79,81,
application_331_bundle.zip,Applicant_331,CS/5433,Laikipia,Dairy,Bank statements,726226387,Pass,,5,Registered >3 years,5,Turnover >10M; positive 2-yr trend; bank statements provided,4,Consistent monthly orders; growing channels; basic quality assurance.,4,strong plan with minor gaps,5,"fully aligned with priority dairy VC. upstream (milk collection from farmers) and downstream (aggregation, chilling, planned processing)",3,"several sustainability practices, moderate to low inclusionc",,Tier 1,100,100,80,80,100,60,10,20,16,20,15,6,87,0,87,39,
application_332_bundle.zip,Applicant_332,CS/22334,Nairobi,Construction,Bank statements,722152208,Pass,All requirements are met,4,Well-established and growing cooperative with clear governance and steady membership growth.,4,"Profitable with steady revenues, though slight turnover dip in 2024 may reflect market fluctuations or project cycles.",4,"Differentiates itself through professionalism, cooperative ownership, and green technology adoption; formal contracts and larger tenders still a growth need.",4,Clear and ambitious proposal with measurable targets; depends on access to capital and modern equipment to scale.,4,"Strong diversification within construction, integration of innovative green technologies, and cooperative model creates efficiency and resilience.",4,"Strong alignment with sustainability and innovation trends, well-positioned to lead in green construction.",,Tier 1,80,80,80,80,80,80,8,16,16,20,12,8,80,0,80,77,
application_333_bundle.zip,Applicant_333,CS/2625,Garissa,Dairy,Bank statements,728968623,Pass,All requirements are met,4,Strong and growing institution with clear governance,4,Rapid growth in 2024 shows strong market uptake.,4,"Strong location and scale advantage, but still needs formal contracts and stronger linkages to secure steady demand.",4,"Proposal is clear, measurable, and realistic. Slightly limited by dependence on external financing for mechanization.",4,Solid integration from input supply to sales.,4,Very strong sustainability practices and future-oriented investments. High resilience to climate variability.,,Tier 1,80,80,80,80,80,80,8,16,16,20,12,8,80,0,80,77,
application_334_bundle.zip,Applicant_334,REG NO: ASS-C81F45E,Uasin Gishu,Other,Income statements,720231174,Fail,Invalid income statements,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_335_bundle.zip,Applicant_335,CS/25606,Kericho,Dairy,Balanced sheet,719696658,Pass,All requirements are met,4,Strong track record with steady growth in membership and staffing.,3,"Strong turnover growth, but profit margins are very low (especially in 2024, net profit is only 0.36% of turnover).",4,Competitive advantage in service offering and organized systems.,4,"Well-defined, measurable, and realistic objectives.",4,"Strong presence in critical chain stages (collection, bulking, cooling, sales).",4,Strong sustainability focus and service integration.,,Tier 1,80,60,80,80,80,80,8,12,16,20,12,8,76,0,76,103,
application_336_bundle.zip,Applicant_336,CS/28645,Garissa,Textile,Bank statements,724492438,Pass,All requirements are met,4,"Strong registration and clear record of fast membership growth, significant jump in revenues and profitability. Still young but with a demonstrable track record.",3,Positive profitability trend and accounting system in place,4,"Buyers: 25% B2B (retailers, NGOs), 75% B2C (individuals, fairs).",4,"Niche cultural products with expanding urban/regional appeal, good competitive positioning through quality and women-led branding.",3,Positive profitability trend and accounting system in place,4,"Strong governance, inclusivity, and accountability.",,Tier 1,80,60,80,80,60,80,8,12,16,20,9,8,73,0,73,113,
application_337_bundle.zip,Applicant_337,BTR/DSS/WG/4143/2011,Kakamega,Dairy,Bank statements,727484249,Fail,Invalid bank statement,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_338_bundle.zip,Applicant_338,CS/30041,Baringo,Dairy,Bank statements,726105673,Fail,Invalid bank statement,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_339_bundle.zip,Applicant_339,720375595,Busia,Edible Oils,Bank statements,720375595,Pass,All requirements are met,2,"Legally recognized and mobilizing members strongly, but no proven financial or operational track record. Early stage.",1,"Financially unproven, high ris",3,"Demand exists, plus institutional linkage → moderate potential, though current volumes are negligible.",3,"Good governance and inclusivity, but limited management experience in running a profitable cooperative.",2,Participation across stages exists but is shallow and low-capacity.,3,Strong sustainability awareness; adoption likely at pilot scale.,,Tier 1,40,20,60,60,40,60,4,4,12,15,6,6,47,0,47,209,
application_340_bundle.zip,Applicant_340,CS/28422,Busia,Rice,Bank statements,720375595,Fail,Bank statement is not clear,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_341_bundle.zip,Applicant_341,PVT-8LUJY9E,Uasin Gishu,Other,Income statements,722853446,Fail,Out of scope vale chain because they deal with gooseberries farming,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_342_bundle.zip,Applicant_342,PVT-QQ1O2E3D,Meru,Other,Mpesa statement,713092858,Fail,Out of scope in value chain for coffee farming,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_343_bundle.zip,Applicant_343,CS/16567,Kisii,Other,Income Statement,713598080,Fail,Invalid income statement and out of scope in value chain for poultry farming,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_344_bundle.zip,Applicant_344,BTR/DSS/3873/2009,Kakamega,Dairy,Bank Statements,711800577,Pass,All requirements met and satisfied,5,Well-established group with clear legal recognition and governance.,3,"Consistent growth and profitability, but lack of realistic expense accounting lowers financial reliability.",3,"Market exists with competitive advantage in freshness, but still limited to local consumers and no institutional buyers yet.",4,"Ambitious and practical proposal with investments outlined, but limited current operational scale constrains viability.",5,Perfect alignment with dairy value chain.,5,"Outstanding inclusivity (all women, youth-led) and strong environmental practices.",,Tier 2,100,60,60,80,100,100,10,12,12,20,15,10,79,0,79,81,
application_345_bundle.zip,Applicant_345,BN-EOS3JYVM,Turkana,Leather,Mpesa statement,712487533,Fail,Mpesa Statement is locked and cant be verified ,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_346_bundle.zip,Applicant_346,BTR/DSS/SHG/10406/2020,Kakamega,Dairy,Bank Statements,728004423,Pass,All requirements met and satisfied,4,"Formally registered, structured leadership (Chairperson, Treasurer, Secretary), Clear growth in members and steady record keeping",4,"Turnover grew from Ksh 156,000 (2022) → 250,700 (2024).",3,Scale is still small (13 litres/day → limited ability to meet larger market demand),4,Ambitious but realistic improvements in line with dairy operations.,3,"Limited aggregation from members, no processing or formal B2B contracts yet.",4,Very good sustainability efforts for a small dairy group,,,80,80,60,80,60,80,8,16,12,20,9,8,73,0,73,113,
application_347_bundle.zip,Applicant_347,SPR/2015/180004,Homa Bay,Construction,Mpesa statement,729537082,Pass,All requirements met and satisfied ,5,Formally registered since 2015 → 10 years track record. Consistent operations in construction sector. Well-structured leadership team.,4,2022 turnover = 1.2M → 2023 turnover = 1.45M → 2024 turnover = 1.3M.,4,"Operates in construction, high-demand sector.Competitors: Smart Moves Construction & other contractors.Differentiates with good planning, loyalty, staff relations.However, faces stiff competition & limited marketing.Solid but not dominant.",4,"Clear objectives: job creation, HIV awareness (CSR). to invest in machinery (cranes, mixers, vibrators). Marketing expansion via social media advertising.",3,No strong aggregation or integration features (standard contracting).,3,"Tree planting, grass planting, irrigation adoption. Relevant but not deeply embedded in construction operations (mostly CSR/environmental add-ons)",,Tier 1,100,80,80,80,60,60,10,16,16,20,9,6,77,0,77,96,
application_348_bundle.zip,Applicant_348,PVT-RXU85VR,Meru,Edible Oils,Bank Statements,728911977,Pass,All requirements met and satisfied,5,"Fully registered, structured company. Consistent operations, integrated into multiple value chains. Digital systems in place (RFMS).",4,"Turnover consistently high (7M–10M). Profit margins ~20%. 2024 dip in turnover noted (10M → 7M), but still profitable.",4,"Competes with Bidco, Pwani Oil, Kapa Oil → highly competitive sector. Differentiates with local sourcing, AI-driven farmer services, sustainability. Strong B2B sales (95%) with wholesalers, distributors, agro-dealers.",4,"Clear objectives and measurable targets (expand to 50,000 farmers, double oil/feed capacity, add hubs). Detailed KPIs, reviews, and scaling plans. MoUs already underway with cooperatives & county governments.",5,"Vertically integrated: procurement → processing → feeds → digital services → sales. Provides farmer training, inputs, aggregation, and traceability. Creates strong backward linkages with 15,000+ smallholders.",4,"strong youth + climate-smart practices, but not woman-owned",,Tier 1,100,80,80,80,100,80,10,16,16,20,15,8,85,0,85,48,Alvin
application_349_bundle.zip,Applicant_349,SC/16791,Wajir,Other,Bank Statementy ,723222135,Fail,Out of scope value chain as they dwell in livestock keeping,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_350_bundle.zip,Applicant_350,WJR/WW/CD/1/A/CBO14,Wajir,Other,Cash book registry,722470983,Fail,Out of scope value chain and cash book registry has no financial record,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_351_bundle.zip,Applicant_351,BN-L5CMDPB3,Mombasa,Edible Oils,Mpesa statements,728418820,Pass,All requirements met and satisfied,4,Fully registered business with clear leadership. Demonstrated growth in members/employees over time. Strong leadership by women.,4,Turnover: 1M (2022) → 1.45M (2023) → 3.2M (2024).,4,"Clear market niche: organic oils, teas, and spice blends competing against big brands (Royco, Kentaste, Kericho Gold). Differentiation: organic, preservative-free, cold-pressed, community-grown. Selling through B2C (86%) + B2B (10%) + some exports (4%).",4,"Clear objectives: scale processing, expand into 3 new regional markets, certification (KEBS & food safety), farmer linkages. Realistic investment plan for equipment and certifications.Digital marketing strategy already in use.",4,Operates across the chain: farmer training → procurement → processing → packaging → marketing → direct sales.,5,"Inclusivity: Woman-owned, majority women employees, youth involved in production & marketing. Sustainability: Promotes organic farming, supports farmer groups, engages in environmental justice work, waste-to-product processing (powders, herbal use).",,,80,80,80,80,80,100,8,16,16,20,12,10,82,0,82,62,
application_352_bundle (1).zip,Applicant_352,PVT-BEUXGQBL,Bomet,Construction,Bank statements,702523119,Pass,All requirements met and satisfied,4,"Fully compliant with registration, strong legal identity, and clear track record in niche fiber optic products.",5,High product margins make business sustainable.,4,"Competitive advantage is clear, though objectives are still early-stage.",5,Rapid growth with strong profitability and healthy margins,5,Unique and critical role in the construction/telecom value chain with backward and forward linkages.,4,"Strong youth and gender balance, though lacks structured membership base.",,,80,100,80,100,100,80,8,20,16,25,15,8,92,0,92,20,
application_353_bundle.zip,Applicant_353,CS/17849,Homa Bay,Dairy,Bank statements,721411932,Fail,The bank statements cannot be accessed,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_354_bundle.zip,Applicant_354,PVT-9XUKJEVM,Tharaka Nithi,Dairy,Bank statements,706413234,Pass,All requirements met and satisfied,4,Meets registration requirements with proof of legal status and track record in dairy.,3,Demonstrates revenue growth but profits remain very low relative to turnover.,4,"Strong branding and clear objectives, though competition in yoghurt market is high.",4,Demonstrates ambitious scaling with planned operational improvements.,5,"Clear, integrated role in the dairy value chain with backward and forward linkages.",4,"Shows strong inclusion of youth and women, with evidence of recent expansion.",,Tier 2,80,60,80,80,100,80,8,12,16,20,15,8,79,0,79,81,
application_355_bundle.zip,Applicant_355,CS/25381,Wajir,Dairy,Bank statements,717246297,Pass,All documents presented,4,Steady growth in membership (104 → 140 → 160),5,Healthy margins & positive trend.,4,Competes with local traders & national milk brands.,4,"Targets realistic (4,000L/day by 2025).",5,Strong alignment with dairy value chain (camel milk),5,Women: 150 vs 30 men,,Tier 1,80,100,80,80,100,100,8,20,16,20,15,10,89,0,89,30,
application_356_bundle.zip,Applicant_356,ASS-FB144OA,Garissa,Construction,Bank statements,726512105,Pass,aligned to construction value chain,4,has been legally registered for 2 years,1,there is thin evidence of the financial position,5,there are multichannels of sale,4,strong with minor gaps,5,priority VC with strong up and downstream linkages,3,there is moderate inclusion of the youth and low inclusion for the women ,,Tier 1,80,20,100,80,100,60,8,4,20,20,15,6,73,0,73,113,
application_357_bundle.zip,Applicant_357,CS/249,Kisii,Other,Balance sheet,703500633,Fail,"Out of scope value chain in that it is a small holder-based coffee cooperative engaged in collecting, pulping, fermenting, drying, and selling
 parchment coffee from our members. ",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_358_bundle.zip,Applicant_358,BN-35CD836V,Wajir,Textile,Balance sheet,729985845,Fail,Less financial evidence,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_359_bundle.zip,Applicant_359,CS/223,Kisii,Other,Balance sheet,720833734,Fail,"Out of scope value chain in that it is a small holder-based coffee cooperative engaged in collecting, pulping, fermenting, drying, and selling
 parchment coffee from our members. ",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_360_bundle.zip,Applicant_360,CS/501,Kisii,Other,Balance sheet,745658170,Fail,Out of scope value chain becuse mainly deals with coffee production,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_361_bundle.zip,Applicant_361,CS/217,Kisii,Other,Balance sheet,725042377,Fail,"Out of scope value chain in that it is a small holder-based coffee cooperative engaged in collecting, pulping, fermenting, drying, and selling
 parchment coffee from our members. ",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_362_bundle.zip,Applicant_362,CS/23711,Kakamega,Dairy,Bank statements,711197453,Pass,All documents presented,3,"Young institution, still small in size, but steady growth signals potential.",2,Data indicates positive margins but lacks credibility and scale; financial position fragile.,3,Stable demand exists but market is competitive; scaling capacity is limited.,3,Vision is strong but execution depends heavily on external financing.,2,Participation in value chain is shallow; integration limited to small-scale primary production and reselling.,3,Moderate inclusivity; some sustainability adoption but limited depth.,,Tier 1,60,40,60,60,40,60,6,8,12,15,6,6,53,0,53,192,
application_363_bundle.zip,Applicant_363,CS/29775,Narok,Dairy,Bank statements,700281235,Pass,All documents presented,3,"Early-stage institution with fast growth, but limited track record and operational experience.",4,"Strong profitability and upward trend, but business base still small and unproven long-term.",4,"Significant demand and diverse channels, though faces stiff competition from established processors.",4,"Strong, structured proposal with clear milestones, but execution requires major financing and capacity building.",5,"High integration across value chain, positioning cooperative as central actor in local dairy system.",4,"High inclusivity and adoption of green practices, though youth engagement still modest.",,Tier 1,60,80,80,80,100,80,6,16,16,20,15,8,81,0,81,70,
application_364_bundle.zip,Applicant_364,NYM/C.H.C/1252/2022,Nyamira,Edible Oils,Balanced sheet and mpesa satatements,712886899,Pass,All requirements met,4,Registered 1–3 years with documentation and meeting cadence implied through continuous operation and leadership.,4,"Turnover between 1–5M; stable growth with full financial documentation (M-Pesa, Balance Sheet, Cashflow).",4,"Consistent and growing local B2C market, diversified product lines, and quality differentiation.",5,"Comprehensive, quantified plan with budgets, execution strategy, and partnerships identified.",5,Fully aligned to Edible Oils VC; critical processing role with circular economy model (waste recycling).,5,"Strong youth representation, notable female participation, and environmental innovations.",,,80,80,80,100,100,100,8,16,16,25,15,10,90,0,90,29,
application_365_bundle.zip,Applicant_365,CS/13701,Makueni,Dairy,Bank statement,726699221,Fail,The bank statement cannot be accessed,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_366_bundle.zip,Applicant_366,SOCA-PPTV3D8,Wajir,Other,Cash book,722470983,Fail,Out of scope value chain because it mainly deals with farming of maize and sorghum,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_367_bundle (1).zip,Applicant_367,CS/26315,Lamu,Other,Cash based books,723255926,Fail,"Out of scope value chain beacuse Lamu West Cashew Nut Processors Farmers Cooperative Society (LWCPFCS) primarily focuses on the value
 addition of cashew nuts,",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_368_bundle.zip,Applicant_368,MTO 4647,Kitui,Edible Oils,Cash based books,748334677,Fail,The cah based books is invalid,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_369_bundle (1).zip,Applicant_369,PVT-ZQUXR5ML,Nyeri,Edible Oils,Balanced sheet and income statements,717579302,Pass,All documents processed,5,Full compliance with registration requirement. Has operated since at least 2022 with consistent financial records and structured farmer engagement.,5,Strong financial base with consistent revenue and profitability growth. Demonstrates sustainability and scale.,4,Strong positioning but faces high competition from large established brands.,5,Well-structured and realistic expansion plan with initial progress.,5,"Deep and integrated participation in edible oils value chain, with both upstream (farmers, input supply) and downstream (processing, distribution) engagement.",5,Strong growth trajectory with clear community engagement. Demonstrates capacity to mobilize farmers at scale and create jobs.,,Tier 2,100,100,80,100,100,100,10,20,16,25,15,10,96,0,96,8,
application_370_bundle.zip,Applicant_370,1800,Uasin Gishu,Other,Cash based books,722853446,Fail,"Out of scope value chain because the UG64 Business Association operates within the support and marketing value chain. We empower MSME
 Association members through education and creating platforms for product marketing",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_371_bundle.zip,Applicant_371,DSD/30/161/01/100921,Baringo,Edible Oils,Cash based books,719538314,Fail,Incorrect cash based books,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_372_bundle.zip,Applicant_372,BN-7ZCKEGB,Uasin Gishu,Construction,Balanced sheet,721101890,Pass,All documents processed,4,"Formalized operations with progressive workforce growth, showing stability and experience.",5,"Strong revenue growth and profitability trend, demonstrating financial resilience and scalability.",4,"Competes in highly competitive sector but has carved market space through quality, pricing, and distribution.",4,"Realistic, strategic expansion plan backed by strong financials and demand.",5,Fully integrated across the construction value chain with strong role in local supply.,3,"Youth-inclusive, some female representation, but not woman-owned; sustainability practices modest but relevant.",,Tier 2,80,100,80,80,100,60,8,20,16,20,15,6,85,0,85,48,
application_373_bundle.zip,Applicant_373,2842,Mgori,Other,Mpesa statement,706584752,Fail,Out of scope value chain because they mainly deal with metal fabrication.,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_374_bundle.zip,Applicant_374,PVT-DLULYEQL,Taita Taveta,Construction,Income statements,796002933,Pass,All documents processed,4,"Formal structure and functioning governance, though younger than some peers.",3,"Growth trajectory is strong, but scale is still modest compared to larger firms.",4,"Well-positioned niche, but still early-stage compared to large manufacturers.",4,Realistic objectives but relies heavily on external support and financing.,4,Strong alignment and unique positioning within the chain.,5,Excellent inclusivity and sustainability credentials.,,Tier 2,80,60,80,80,80,100,8,12,16,20,12,10,78,0,78,89,
application_375_bundle.zip,Applicant_375,CS/29311,Wajir,Dairy,Mpesa statement,725782339,Fail,Mpesa statement cannot be accessed,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_376_bundle.zip,Applicant_376,CS/29901,Kisii,Other,Cash based books,717889676,Fail,Out of scope value chain beacuse it mainly deals with avocado farming,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_377_bundle.zip,Applicant_377,PVT-KAUZJRAP,Uasin Gishu,Edible Oils,"Bank statements, mpesa statements and statements of cash flows",790384503,Pass,All documemts processed,4,"Properly registered, with 2 years of financial activity, showing early but real growth.",4,"Positive financial growth and good margins, but still small scale.",5,"Ambitious, realistic objectives and strong differentiation from competitors.",4,"Clear investment plan, though still scaling and semi-manual systems.",5,"Clear value addition, strong farmer linkages, and diversified sales channels.",4,"Positive financial growth and good margins, but still small scale.",,Tier 2,80,80,100,80,100,80,8,16,20,20,15,8,87,0,87,39,
application_378_bundle.zip,Applicant_378,CS/28860 dated 17th July 2023,Kakamega,Other,Bank statement and balanced sheet,722717273,Fail,Out of scope value chain because they deal with avocado farming,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
