,,"Eligibility Criteria
Decision Box – Eligibility
If any E1–E5 fails → mark INELIGIBLE; exclude from scoring.
If all pass → proceed to Primary Criteria scoring.",,,,,,,"Scoring Rubrics (0–5 anchors per criterion)
Choose the best-fit level per criterion.
Evidence Box – Financial
Accept: bank/M-Pesa PDFs, screenshots (machine-readable if possible), Excel exports, signed income summaries, simple stock/COGS ledgers.",,,,,,,,,,,, Disqualifiers & Penalties,TIERS,NORMALIZED SCORE,,,,,,WEIGHTED SCORING,,,,,,,COMPOSITE SCORE,,RANK,
application_KJET-20260101000259-NFA8_with_attachments_2026-01-13_17-43-22,Applicant_KJET-20260101000259-NFA8,39475,EMBU,Dairy,,no-unofficiall cashbook attached,yes-phone number and email address written,Community Based Organization (Reg. 39475) since 2017 that deals with dairy farming.,5,"9 years of operation demonstrates resilience. They have successfully scaled their membership from 121 to 262 in two years, showing high community trust.",1,The cash flow statement given does not contain any official stamp to verify it is legit not forged.,3,80% of sales are B2B (Zawadi Dairies). Their unique selling proposition—paying farmers twice a month and offering credit for foodstuffs—is a powerful tool for member retention against larger cooperatives,3,"The request for a 2,000-liter solar-powered cooler is a strategic triple-win: it reduces post-harvest losses (their biggest challenge), lowers electricity overheads, and meets green energy criteria.No budget",3,Dairy is a core priority sector in this evaluation.The only problem they do not do any milk processing,4,"Nearly 50% of the 2024 membership is female (120 out of 262). While they noted none under specific green initiatives, their proposal to use solar cooling is a major environmental upgrade.",,,100,20,60,60,60,80,10,4,12,15,9,8,58,0,58,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARISSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application_KJET-20251220114745-HJQK_with_attachments_2026-01-13_17-46-54,Applicant_KJET-20251220114745-HJQK,PVT-DLUZXDX,GARISSA,OTHER,Firewood supply business,Yes,Yes,All requirements met,5,Registered for 7 years with a governance structure,2,"The statement has no comprehensive transaction details, the amounts in the statement also differ with those in the application form",3,Regular local sales to nearby institutions and community members,2,"Vague plan, unclear resourcing",1,"They only do the sales, marginal link in supply chain",3,Moderate inclusion with intent for green practices,,,100,40,60,40,20,60,10,8,12,10,3,6,49,0,49,8,
application_KJET-20251224155150-GRP6_with_attachments_2026-01-13_17-46-51,Applicant_KJET-20251224155150-GRP6,,GARISSA,Construction Materials,,No,Yes,Ineligible registration evidence and has not provided financial statement,0,Unverifiable registration,0,No financial evidence provided,0,No market evidence,0,No proposal provided,1,"Marginal links, they transport the construction materials to the end user",1,Moderate inclusion with intent no green practices,P2,,0,0,0,0,20,20,0,0,0,0,3,2,5,3,2,15,
application_KJET-20251224193254-LOB9_with_attachments_2026-01-13_17-46-33,Applicant_KJET-20251224193254-LOB9,ASS-6A018E7,GARISSA,Construction Materials,,No,Yes,Financial statement is only 6 months,5,Registered for 4 years with a governance structure,1,Thin evidence,3,Regular local sales ,3,Clear direction with generic targets,5,"Fabrication of construction materials, then supply to plublic and local sectors",5,Above 50% youth and more than 2 green practices,,,100,20,60,60,100,100,10,4,12,15,15,10,66,0,66,4,
application_KJET-20251225175204-HNEE_with_attachments_2026-01-13_17-46-30,Applicant_KJET-20251225175204-HNEE,CS/28645,GARISSA,Textiles,,Yes,Yes,All requirements met,4,Registered for 2.5 years with good governance,2,Turnover is less than 1 million,3,Regular local sales through one channel,3,Clear plan with generic targets,5,Source raw materials and process them into textile products,5,Above 50% youth and women and more than 2 green practices,,,80,40,60,60,100,100,8,8,12,15,15,10,68,0,68,3,
application_KJET-20251226153803-RWXI_with_attachments_2026-01-13_17-46-25,Applicant_KJET-20251226153803-RWXI,CS/26391,GARISSA,OTHER,Savings Sacco,Yes,Yes,All requirements met,5,Registered for more than 4 years with good governace,2,Turnover is less than 1 million,0,No market evidence,2,Vague plan with generic targets,2,Unclear node,3,Above 50% youth and women with a try green practices,,,100,40,0,40,40,60,10,8,0,10,6,6,40,0,40,13,
application_KJET-20251229182431-KP7C_with_attachments_2026-01-13_17-46-21,Applicant_KJET-20251229182431-KP7C,CS/29319,GARISSA,Dairy,,Yes,Yes,All requirements met,3,"Registered for a little over 2 years, but has no governance",2,Turnover is less than 1 million,1,Limited information on market demand and competitiveness,1,No concrete plan,1,Unclear description of value chain alignment,1,Moderate inclusion with no green practices,,,60,40,20,20,20,20,6,8,4,5,3,2,28,0,28,14,
application_KJET-20260101235749-HBIF_with_attachments_2026-01-13_17-46-18,Applicant_KJET-20260101235749-HBIF,GC/G/CD/2B706,GARISSA,Dairy,,No,Yes,Financial statement is only 2 months,5,Registered for more than 5 years with governance,1,Thin evidence. 2 months statement,3,Regular local sales,3,Clear direction with generic targets,1,Marginal link ,4,Above 50% youth with intent for green practices,,,100,20,60,60,20,80,10,4,12,15,3,8,52,0,52,6,
application_KJET-20260102131956-W38X_with_attachments_2026-01-13_17-46-15,Applicant_KJET-20260102131956-W38X,CS/25757,GARISSA,Dairy,,No,Yes,Financial statement in 6 months,3,"Registered for 5 years, but has no governance",1,Thin evidence,3,Regular local sales,3,Clear direction with generic targets,1,Marginal link ,3,"Above 50% youth and women, with some green steps",,,60,20,60,60,20,60,6,4,12,15,3,6,46,0,46,10,
application_KJET-20260102154519-CF14_with_attachments_2026-01-13_17-46-12,Applicant_KJET-20260102154519-CF14,CS/26279,GARISSA,Dairy,,No,Yes,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,
application_KJET-20260102170250-NBSD_with_attachments_2026-01-13_17-46-04,Applicant_KJET-20260102170250-NBSD,GSA/F/CD/2/1126/2022,GARISSA,Leather,,No,Yes,Financial statement locked,5,"Registered for more than 3 years, with governance",0,Unverifiable financial statement,3,Regular local sales in one ,2,"Vague plan, unclear resourcing",5,Process leather into leather products like shoes and belts,3,"More than 50% female, but no green practices",,,100,0,60,40,100,60,10,0,12,10,15,6,53,0,53,5,
application_KJET-20260102170953-4UHE_with_attachments_2026-01-13_17-46-01,Applicant_KJET-20260102170953-4UHE,PVT-5JUZGGA6,GARISSA,Construction Materials,,No,Yes,Very minimal transactions,4,"Registered in 2024. Basic governance structure(Secretary, Director, Manager, Treasurer). ",1,Very minimal transactions evidence,3,"Construction materials: retail and wholesale supply. 100% B2B (local community, schools, offices). Procures from Nairobi manufacturers. Competes with local suppliers. Understands logistics/transport importance",2,"Vague plan: ""increase turnover"", ""offer better service"", digital advertising, transport services. No costed budget, no specific targets. Needs: vehicles, finance. Minimal effort application (ALL CAPS responses)",3,"Construction (PRIORITY value chain). Distribution role: procurement from Nairobi manufacturers → transport to Garissa → wholesale/retail to local market. No manufacturing, supply chain only",3,"Women Secretary/Treasurer, 50%+ women ownership. Tree planting, water provision, watering guns/wheelbarrows for manure. Limited sustainability detail",,,80,20,60,40,60,60,8,4,12,10,9,6,49,0,49,8,
application_KJET-20260102175300-QN75_with_attachments_2026-01-13_17-45-59,Applicant_KJET-20260102175300-QN75,CS/29242,GARISSA,OTHER,BUY AND SELL LIVESTOCK,No,Yes,Financial statement is only 1 month,5,"Registered in 2023, with a functioning governance structure",1,Minimal transactional evidence,3,"Livestock trading: camels, sheep, goats, cows. 85% B2B, 15% B2C (both ""local community""). Competes with Bara Mari SACCO. Trust, fair pricing, reliable delivery emphasized. Drought challenges",2,"Vague plan: ""wider North Eastern markets"", ""online marketing"", ""quality livestock"". No costed budget. Needs: transport, office equipment, infrastructure, veterinary services, fodder systems",3,Livestock trading (OTHER - not priority VC). Aggregation/trading: procurement from local farmers → transport → sales to local community. No processing/value addition. Drought-vulnerable,3,"40% women ownership, women Director/Treasurer. Drought-resistant crops, boreholes, rain harvesting (in process). Fodder systems planned",,,100,20,60,40,60,60,10,4,12,10,9,6,51,0,51,7,
application_KJET-20260102180431-DY7O_with_attachments_2026-01-13_17-45-57,Applicant_KJET-20260102180431-DY7O,CS/28423,GARISSA,,,No,Yes,Financial statement is only 1 month,3,"Registered in 2023, with a basic governance structure",1,Minimal transactional evidence,4,"Edible Oils: sunflower production/aggregation. 40% B2B, 60% B2C. Competes with brokers, other cooperatives. 900 MT oil consumed annually in Garissa",5,"Detailed plan: aggregation centre, contract farming, 200→500 acres sunflower, seed varieties for higher extraction, animal feed from by-products. Target Dadaab refugee complex, digital marketing, MOUs with hotels/schools",4,"Edible Oils (PRIORITY value chain). Currently: farming support → sunflower production → aggregation. Plans: oil extraction, animal feed processing from by-products. Not yet processing oils (aggregation stage)",3,"41% female membership (600/1,450), woman Secretary. Climate-smart farming, organic farming, agroforestry, beekeeping, solar energy, intercropping, riverbank protection",,,60,20,80,100,80,60,6,4,16,25,12,6,69,0,69,2,
application_KJET-20260102192141-YHTD_with_attachments_2026-01-13_17-45-55,Applicant_KJET-20260102192141-YHTD,,GARISSA,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,
application_KJET-20260102201214-IS0U_with_attachments_2026-01-13_17-45-49,Applicant_KJET-20260102201214-IS0U,OP.218/051/13-0154/8912,GARISSA,Textiles,,No,Yes,Financial statement is not for the last 12 months. The most recent financial record is from September 2024,5,"Registered for a little over 12 years, governance structure present",3,"Turnover less than 1 million, evidence provided is not recent and does not match data in the application form",3,Regular local sales through one channel,3,Clear plan with generic targets,5,"Processes raw materials into woven finished products, and does branding and dying of the same, has both upward and downward linkages",3,Above 50% women with intent forgreen practices,,,100,60,60,60,100,60,10,12,12,15,15,6,70,0,70,1,
application_KJET-20260102203236-UD4V_with_attachments_2026-01-13_17-45-46,Applicant_KJET-20260102203236-UD4V,RA-V6SPN7,GARISSA,Textiles,,No,Yes,Financial evidence provided is only 6 months,3,"Registered for less than a year, with minimal governance",3,Stable cashflow with turnover around 4.7 million,3,"Consistent monthly orders, doesn't use digital marketing",1,"Aspiration, no concrete plan",1,Marginal link,2,Above 50% youth with ad-hoc green practices,,,60,60,60,20,20,40,6,12,12,5,3,4,42,0,42,11,
application_KJET-20260102210856-6DLL_with_attachments_2026-01-13_17-45-44,Applicant_KJET-20260102210856-6DLL,BN-VDCYXDML,GARISSA,OTHER,Cyber services and electronic gadgets sale,Yes,Yes,All requirements met,4,Registered for more than 3 years with minimal governance,1,Turnover less than 1 million,2,Local sales with limited differentiation,3,Clear plan with generic targets,1,Marginal link,2,"Low inclusion, ad-hoc green practices",,,80,20,40,60,20,40,8,4,8,15,3,4,42,0,42,11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOMABAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application_KJET-20251120191356-5TTO_with_attachments_2026-01-13_17-49-38,Applicant_KJET-20251120191356-5TTO,KA/KOW//CBCO//592,HOMABAY,Dairy,,Yes,Yes,Requirements met,5,Registered in 2019 with an active governance,1,"Turnover less than 1M, with irrelevant transactions",3,Has established local markets supplying milk bars and local consumers with 70% B2C and 30% B2B. The business demonstrates understanding of competitors and market opportunities and has begun expanding to institutions such as schools and hospitals.,4,"Clear targets including production growth, cost reduction, and market expansion. Planned investments in milk cooling equipment, processing facilities and transport demonstrate realistic growth intentions supported by existing production capacity.",5,"Participates in feed production, milk production, processing, and distribution. ",4,"Significant inclusion and sustainable practices such as composting manure, solar-powered systems and fodder production",,,100,20,60,80,100,80,10,4,12,20,15,8,69,0,69,2,
application_KJET-20251203161554-VZHT_with_attachments_2026-01-13_17-49-34,Applicant_KJET-20251203161554-VZHT,PVT-6LU55VY,HOMABAY,Blue Economy,,Yes,Yes,Requirements met,5,Registered in 2019 with governance structure with defined leadership roles and significant expansion in employment from 56 members (2022) to 140 (2024).,5,"Positive trend, cashflow statements provided",5,"Contracts with major supermarket chains, wholesale buyers, 80%B2B sales",4,Clear investment plan and measurable targets indicate high growth readiness,5,"Participates in the VC from hatchery, cage farming, processing, distribution and retail",3,Moderate inclusion,,,100,100,100,80,100,60,10,20,20,20,15,6,91,0,91,1,
application_KJET-20251218222351-WLTV_with_attachments_2026-01-13_17-49-32,Applicant_KJET-20251218222351-WLTV,Not provided,HOMABAY,Construction Materials,,No,Yes,Requirements not met,0,No registration document,0,No financial evidence,2,Enterprise serves local customers with electrical equipment sales and repair services. Some market demand exists but evidence of structured market linkages or competitive advantage is limited. Marketing strategy is not clearly defined.,2,Growth plans are vague and not supported by clear investment strategies or measurable targets,2,Sales electrical and electronic equipments and repair services. Linkages are weakly decsribed. ,2,Low inclusion with no green practices,P1,,0,0,40,40,40,40,0,0,8,10,6,4,28,5,23,12,
application_KJET-20251222163821-NYK4_with_attachments_2026-01-13_17-49-30,Applicant_KJET-20251222163821-NYK4,CS/30440,HOMABAY,Textiles,,Yes,Yes,Requirements met,5,"Registered in 2022, with an active governance and growing membership",1,Thin evidence and mininal transactions ,3,"Stable customer base from schools and local community, competition from second-hand clothing affects competitiveness",3,"Plans include, establish a tailoring academy, work expansion and export markets, how no clear implementation strategy",4,"Participates in uniform production, tailoring and skills, but limited supplier and buyer linkages",3,Moderate inclusion and green practices,,,100,20,60,60,80,60,10,4,12,15,12,6,59,0,59,6,
application_KJET-20251222182032-QFXE_with_attachments_2026-01-13_17-49-28,Applicant_KJET-20251222182032-QFXE,RESC/KK/SHG/196/2023,HOMABAY,Blue Economy,,Yes,Yes,Requirements met,5,Registered in 2023 with a functioning governance,1,"Thin evidence, unverifiable",4,Indicates 3 channels and demand sales,2,Vague plans with clear targets,2,Roles unclear,3,"High participation, need for clear green practices ",,,100,20,80,40,40,60,10,4,16,10,6,6,52,0,52,11,
application_KJET-20251227174832-6AC3_with_attachments_2026-01-13_17-49-25,Applicant_KJET-20251227174832-6AC3,WG/HUD/HB/0178/2019,HOMABAY,Blue Economy,,Yes,Yes,Requirements met,5,"Registered in 2019, with an active governance ",2,Turnover less than 1M,3,"2 local channels, B2B and B2C",3,Plans to eradiacte sex for fish by incorporating local technology but targets are not clear,2,Unclear role,2,Low inclusion 100% women led with ad-hoc  green steps,,,100,40,60,60,40,40,10,8,12,15,6,4,55,0,55,8,
application_KJET-20251229100536-WCHV_with_attachments_2026-01-13_17-49-21,Applicant_KJET-20251229100536-WCHV,CS/27849,HOMABAY,Edible Oils,,Yes,Yes,Requirements met,5,"Registered in 2022, with an active governance ",1,"Thin evidence, not varifiable",3,2 local channels with competitors are local hawkers ,3,Are in the process of getting our products be certified by Kenya Bureau of standards and so after that we will be selling major super markets.,4,Raw materials are procured locally from our members.Only packaging materials and processing machines are procured from other businesses.,3,Moderate inclusion with ad-hoc green practices,,,100,20,60,60,80,60,10,4,12,15,12,6,59,0,59,6,
application_KJET-20251230091803-OWSZ_with_attachments_2026-01-13_17-49-13,Applicant_KJET-20251230091803-OWSZ,DSD/43/245/01/149553,HOMABAY,OTHER,Apiculture,Yes,Yes,Requirements met,5,"Registered in 1998, demonstrating governance and membership growth over the years",1,"Thin evidence, not varifiable",3,"Clear demands exists, channels remain local",3,"Plans show practical direction and understanding of market requirements, but no finance and investement projections",5,"Strong participation through raw honey collection from farmers, processing activities, packaging and training beekeepers",5,"Equal participation of women, men and youth, with green practices such as tree planting, bee friendly vegetation and pollination support ",,,100,20,60,60,100,100,10,4,12,15,15,10,66,0,66,4,
application_KJET-20251230235437-A2UR_with_attachments_2026-01-13_17-49-11,Applicant_KJET-20251230235437-A2UR,No. 0006977,HOMABAY,OTHER,Agro-processing (Groundnuts),Yes,Yes,Requirements met,5,"CBO established in 2021, inidicates active governance",1,Minimal transactions with thin evidence,3,"2 channels including digital channels, demands exist mostly informal markets ",4,Growth strategy is practical and aligned with market expansion. Business development  needs clearly articulated.,5,"Participates in procurement from smallholder farmers, processing activities, packaging and sales to local markets",4,"High participation, with green practices",,,100,20,60,80,100,80,10,4,12,20,15,8,69,0,69,2,
application_KJET-20251231212126-MHRB_with_attachments_2026-01-13_17-49-09,Applicant_KJET-20251231212126-MHRB,CBO141/2007,HOMABAY,OTHER,Apiculture,Yes,Yes,Requirements met,5,Registered in 2007 with an active governance and membership growth,1,"Thin evidence, not varifiable",3,2 local channels with demand,3,Plan unclear ,2,Unclear role in the VC,4,Inclusive wtih greem practices,,,100,20,60,60,40,80,10,4,12,15,6,8,55,0,55,8,
application_KJET-20251231235913-KBGE_with_attachments_2026-01-13_17-49-06,Applicant_KJET-20251231235913-KBGE,DSD/43/250/02 /105964,HOMABAY,Textiles,,Yes,Yes,Requirements met,5,"Registered in 2021, with a functioning governance",,No financial evidence,3,"Strong B2B market focus (70% sales to events, hotels, institutions). B2C contributes 30%, via fashion enthusiasts and culture buyers.",4,"Clear expansion plan with clear targets, support for business development",4,"VC production, handicrafts, Supports backward linkages through locally sourced materials",3,Low inclusion as more are women,,,100,0,60,80,80,60,10,0,12,20,12,6,60,0,60,5,
application_KJET-20260104112113-I1FR_with_attachments_2026-01-13_17-49-04,Applicant_KJET-20260104112113-I1FR,CPR/2013/96972,HOMABAY,Edible Oils,,Yes,Yes,Requirements met,3,"Registered in 2013, basic structure in place",2,Turn over less than 1M,3,2 channels ,3,Clear direction with generic targets,2,Unclear node,4,Inclusive with clear green steps,,,60,40,60,60,40,80,6,8,12,15,6,8,55,0,55,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISIOLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application_KJET-20251223132724-CR6L_with_attachments_2026-01-13_17-52-11,Applicant_KJET-20251223132724-CR6L,CS/23792,ISIOLO,Edible Oils,Sunflower farming and processing of end products,Yes (Verified Bank statements 2022-2024),Yes,All requirements met,5,"Registered in 2019, structures in place",2,"Turnover indicated as <1M in 2024, but less than 1M in pevious years with an incositency in 2023, evidence of Bank statements ",4,"Has 2 channels, and a digital marketplace, basic quality assurance",3,"Clear direction and generic targets, no  costed budget",5,"Priority VC, Farming production and processing",5,"50% female and youth inclusion, several green practices",,,100,40,80,60,100,100,10,8,16,15,15,10,74,0,74,3,
application_KJET-20251229135721-2AAK_with_attachments_2026-01-13_17-52-08,Applicant_KJET-20251229135721-2AAK,DSD/11/49/01/139179,ISIOLO,Construction Materials,Collection of sand from riverbanks and processing into bricks and concrete poles,Yes (Verified Bank statements 2024-2025),Yes,All requirements met,5,"Registered in 2008, structures in place",3,"Turnover stated as 1-5M, stable one income statement",4,"Has 2 channels, and a digital marketplace",3,"Clear direction and generic targets, no  costed budget",5,"Priority VC, collection of sand and bricks fabrication",5,"50% female owned and youth inclusivity, 3 implemented green practices",,,100,60,80,60,100,100,10,12,16,15,15,10,78,0,78,1,
application_KJET-20251229180556-JNWK_with_attachments_2026-01-13_17-52-06,Applicant_KJET-20251229180556-JNWK,CS/24975,ISIOLO,Dairy,"Aggregation, distribution and value addition of camel milk",Yes (verified bank statement 2022-2024),Yes,All requirements met,5,"Registered in 2020, clear structures in place",1,"Thin financial evidence, Income statemnts 200k but total revenue indicated as more than 10M with similar figures for 2023 and 2024 and in 2022 total revenue higher than profit,,,)",4,Has 3 channels including a digital marketplace,3,"Clear direction and generic targets, no  costed budget",5,"Priority VC from  aggregation and production to processing and distribution of end products, direct linkages",4,"50% youth inclusion, moderate female inclusion, 3 implementedgreen practices ",,,100,20,80,60,100,80,10,4,16,15,15,8,68,0,68,4,
application_KJET-20251230120439-T9OQ_with_attachments_2026-01-13_17-52-00,Applicant_KJET-20251230120439-T9OQ,ISI/HUD/CBO/1304/2019/20/398,ISIOLO,Dairy,"Aggregation, distribution and value addition of milk into yogurt","No (word document, cashflow statement)",Yes,Unverifiable document -word,5,"Registered in 2019, structures in place",2,"Turnover less than 1M, sporadic recrds (typed income statemnt no stamp/signature)",4,Has 3 channels including a digital marketplace,4,"Strrong plan, minor gaps in targets, no costed budget",5,"Priority VC from production, aggregation to processing and distribution of end products",4,"50% youth inclusion moderate 30% female inclusion, several green practices",,,100,40,80,80,100,80,10,8,16,20,15,8,77,0,77,2,
application_KJET-20251230144712-RIVO_with_attachments_2026-01-13_17-51-57,Applicant_KJET-20251230144712-RIVO,ISI/HUD/CBO/1304/2010/76,ISIOLO,OTHER,Production and processing of poultry products,Yes(bank statement),Yes,All requirements met,5,Registered in 2010,2,"Turnover less than 1M, sporadic recrds (positive 2 year trend, inconsistent in 2024... 7M iturnver in 2024)",4,Has 2 channels and a digital marketplace,3,"Clear direction and generic targets, no  costed budget",2,"Not a priority value chain, production,processing and distribution of poultry products",5,">50% female and youth participation, several green practices",,,100,40,80,60,40,100,10,8,16,15,6,10,65,0,65,6,
application_KJET-20251230162029-KAPH_with_attachments_2026-01-13_17-51-54,Applicant_KJET-20251230162029-KAPH,CS/13834,ISIOLO,Dairy,Aggregation processing and distribution,No(verified bank statements less than 12months),Yes,Statement less than 12 months,5,egistered in 2011,1,"Turnover less than 1M (less than 100k) thin evidence, minimal transactions",4,Has 3 channels including a digital marketplace,3,"Clear direction and generic targets, no  costed budget",5,Priority value chain from production to processing,4,"female owned. >50% female inclusion, moderate youth and several green practices",,,100,20,80,60,100,80,10,4,16,15,15,8,68,0,68,4,
application_KJET-20251231134509-Q6IC_with_attachments_2026-01-13_17-51-50,Applicant_KJET-20251231134509-Q6IC,GT/HUD/CBO/1302/2016/156,ISIOLO,OTHER,"Beef & poultry farming, and value addition i.e sausages",no,Yes,Handwritten book balance unverifiable,5,Registered in 2016,0,"Thin evidence, hand written book balances less than 1M",4,Has 3 channels including a digital marketplace,3,"Clear direction and generic targets, no  costed budget",2,"Not a priority value chain, rearing slaughtering and end product processing such as sausages packaging",5,"50% female and moderate youth inclusion, 3 green practices",P1,,100,0,80,60,40,100,10,0,16,15,6,10,57,5,52,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAJIADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application_KJET-20251218104136-STPO_with_attachments_2026-01-13_17-55-01,Applicant_KJET-20251218104136-STPO,PVT-3QUEA55,KAJIADO,Rice,"Sourcing milled rice from millers, value addition through quality inspection, repacking, market lineage and distribution.",Yes (financial statement 2024),Yes,All requirements met,5,Registered in 2020,5,"Turnover >10M, one statement attached (slight inconsistency in 2023 application form, could be a typo) positive 2 year trend ",4,has 3 channels including a digital marketplace,5,"Strong plan, minor gaps in targets, mention of one financial target ",5,"Priority VC, aggregation from local farmers and value addition through quality assurance ",4,"female owned, high inclusivity of females and youth. Various green practices ",,,100,100,80,100,100,80,10,20,16,25,15,8,94,0,94,#REF!,
application_KJET-20251220201945-2BMT_with_attachments_2026-01-13_17-54-58,Applicant_KJET-20251220201945-2BMT,CS/23100,KAJIADO,Dairy,Selling raw milk to Brookside ,Yes(financial statement 2020/5 and balance sheets),Yes,All requirements met,5,Registered in 2018,2,"Turnover less than 1M, sporadic records ",2,"Sporadic sales, no channels (gaps in application entry)",2,"Vague plan, very little detail on challenges and targets",2,"Peripheral role, unclear node ",3,"High female inclusion, moderate youth inclusion; one green practice",,,100,40,40,40,40,60,10,8,8,10,6,6,48,0,48,#REF!,
application_KJET-20251227231813-1HXC_with_attachments_2026-01-13_17-54-25,Applicant_KJET-20251227231813-1HXC,BN-8MC7EKQY,KAJIADO,OTHER,"Mushroom value chain, spawn production and value addition ",No financial evidence (password protected),Yes,All requirements met,4,Registered in 2021,0,No financial evidence ,4,3 channels including digital marketplace ,4,"strong detailed plan, minor gaps in targets. No costed budget ",2,"Not a Priority VC, aggregation and processing into other value chain including value addition ",4,"High youth inclusion, moderate female inclusion; several green practices ",P1,,80,0,80,80,40,80,8,0,16,20,6,8,58,5,53,#REF!,
application_KJET-20251228202431-UPL3_with_attachments_2026-01-13_17-54-19,Applicant_KJET-20251228202431-UPL3,DSD/34/18/2/15815,KAJIADO,OTHER,Green economy and agribusiness,"Yes (member contributions in excel, no other financial transactions)",yes ,All requirements met ,4,Registered in 2024,1,"Thin financial evidence, other than member contributions... minimal transactions ",4,3 channels including digital marketplaces,4,"strong highly detailed plans, no costed budgets ",2,"Not a Priority VC, minimal value addition ",5,>50% female and youth inclusion; several green practices ,,,80,20,80,#REF!,40,100,8,4,16,#REF!,6,10,#REF!,0,#REF!,#REF!,
application_KJET-20251228212211-SLIT_with_attachments_2026-01-13_17-54-17,Applicant_KJET-20251228212211-SLIT,RA-6QSJQ5,KAJIADO,Construction Materials,Supply and distribution of construction materials ,Yes(Mpesa statement 06/25-12/25,Yes,All requirements met,3,Registered in 2025,3,"Turnover 1-5M, full statement attached ",4,has 3 channels including digital marketplaces ,5,strong targets and costed budget plan,4,Priority VC; clear node participation: some linkages ,5,">50% female and youth inclusion, several green practices ",,,60,60,80,#VALUE!,80,100,6,12,16,#VALUE!,12,10,#VALUE!,0,#VALUE!,#VALUE!,
application_KJET-20251229160117-OZUX_with_attachments_2026-01-13_17-54-15,Applicant_KJET-20251229160117-OZUX,PVT-MKUE5KL,KAJIADO,Construction Materials,Recycling waste into construction inputs,Yes (bank statement 2024/25),Yes,All requirements met,5,Registered in 2018,4,Turnover indicated as 5-10M in 2024 (statement doesn't verify figures balance =600k),5,multiple channels including export and digital marketplaces ,5,Detailed plans with reference costed budget on buying selling and gross profit margins ,5,Priority VC; value addition from waste to end product,5,">50% female and youth inclusion, several green practices ",P1,,100,80,100,#REF!,100,100,10,16,20,#REF!,15,10,#REF!,5,#REF!,#REF!,
application_KJET-20251229183317-92PQ_with_attachments_2026-01-13_17-54-13,Applicant_KJET-20251229183317-92PQ,CPR/2013/97849,KAJIADO,OTHER,Tomato farming and selling ,Yes (bank statements 2022/5) ,Yes,All requirements met,5,"Registered in 2013, basic structure in place",4,"Turnover 5-10M, bank statements attached",3,"Regular local sales, 1 channel",4,"Strong plan, minor gap no costed budget ",2,"Not a Priority VC, peripheral role, minimal value addition ",5,">50% female and youth inclusion, 2+ green practices ",,,100,80,60,80,40,100,10,16,12,20,6,10,74,0,74,#REF!,
application_KJET-20251229185157-VLJH_with_attachments_2026-01-13_17-54-11,Applicant_KJET-20251229185157-VLJH,PVT-8LU7ZVM,KAJIADO,OTHER,Pyrethrin extraction and processing ,Yes (income statement 2022/4),Yes,All requirements met,5,Registered in 2017,5,"Turnover >10M (697Million), positive 3yr trend, Income statements attached in (USD)",3,"3 channels mainly export, no digital marketplace, active buyer contracts amd purchase orders ",4,"Strong plan, detailed targets and challenges, no costed budget ",2,"Not a Priority VC (outside scope), participation in aggregation processing and export, documented linkages ",1,"No evidence of inclusion in application, several green practices ",,,100,100,60,80,40,20,10,20,12,20,6,2,70,0,70,#REF!,
application_KJET-20251231130502-BYOW_with_attachments_2026-01-13_17-54-08,Applicant_KJET-20251231130502-BYOW,C-99007,KAJIADO,Minerals,Mineral extraction and processing ,Yes (full income statement upto 2024),Yes,All requirements met ,5,Registered in 2002,5,"Turnover >10M (60M); verified income statements, positive 2yr trend",3,has 2 channels no digital marketplace ,5,"Strong plan, detailed targets costed budget ",5,"Priority VC, value addition and distribution, documented linkages ",1,"No evidence/ data on employees, several green practices ",,,100,100,60,100,100,20,10,20,12,25,15,2,84,0,84,#REF!,
application_KJET-20251231153936-G4UQ_with_attachments_2026-01-13_17-54-06,Applicant_KJET-20251231153936-G4UQ,LGT/SHG/5/4/2013(1171),KAJIADO,Leather,Leather processing and value addition ,No ,Yes,form of financial evidence other than financial statement,5,Registered in 2013,1,"Turnover >10M from application, thin evidence no statement or balance sheet",4,has 3 channels including a digital marketplace ,5,"Strong plan, detailed targets and challenges, costed budget ",5,"Priority VC, value addition, documented linkages including export ",5,"100% female run, moderate youth inclusivity, several green practices ",P1,,100,20,80,100,100,100,10,4,16,25,15,10,80,5,75,#REF!,
